"parent","level","name","lng","lat","people_count_2010","adcode"
"黑龙江省","city","哈尔滨市","126.642464","45.756967","10592114","230100"
"海南省","city","海口市","110.33119","20.031971","2046170","460100"
"甘肃省","city","陇南市","104.929379","33.388598","4522320","621200"
"江西省","city","萍乡市","113.852186","27.622946","1854515","360300"
"江西省","city","南昌市","115.892151","28.676493","4520070","360100"
"新疆维吾尔自治区","city","巴音郭楞蒙古自治州","86.150969","41.768552","1406114","652800"
"陕西省","city","榆林市","109.741193","38.290162","3351436","610800"
"广东省","city","揭阳市","116.355733","23.543778","5972081","445200"
"新疆维吾尔自治区","city","吐鲁番市","89.184078","42.947613","null","650400"
"广东省","city","茂名市","110.919229","21.659751","5831304","440900"
"新疆维吾尔自治区","city","哈密地区","93.51316","42.833248","2123059","652200"
"河南省","city","鹤壁市","114.295444","35.748236","1569208","410600"
"湖南省","city","怀化市","109.97824","27.550082","4986789","431200"
"湖南省","city","张家界市","110.479921","29.127401","1478149","430800"
"湖南省","city","永州市","111.608019","26.434516","5653754","431100"
"湖南省","city","娄底市","112.008497","27.728136","3773474","431300"
"湖南省","city","郴州市","113.032067","25.793589","4583531","431000"
"黑龙江省","city","大庆市","125.11272","46.590734","3138370","230600"
"黑龙江省","city","绥化市","126.99293","46.637393","5418153","231200"
"河南省","city","济源市","112.590047","35.090378","null","419001"
"江苏省","city","徐州市","117.184811","34.261792","8060518","320300"
"江苏省","city","南京市","118.767413","32.041544","7958116","320100"
"江苏省","city","无锡市","120.301663","31.574729","6316878","320200"
"江苏省","city","南通市","120.864608","32.016212","8442973","320600"
"江苏省","city","扬州市","119.421003","32.393159","4453694","321000"
"黑龙江省","city","七台河市","131.015584","45.771266","920471","230900"
"福建省","city","莆田市","119.007558","25.431011","2778508","350300"
"广东省","city","清远市","113.051227","23.685022","3788927","441800"
"广西壮族自治区","city","百色市","106.616285","23.897742","3466758","451000"
"海南省","city","保亭黎族苗族自治县","109.70245","18.636371","5939907","469029"
"江西省","city","赣州市","114.940278","25.85097","8368447","360700"
"江西省","city","宜春市","114.391136","27.8043","5337247","360900"
"广西壮族自治区","city","玉林市","110.154393","22.63136","5455905","450900"
"山东省","city","聊城市","115.980367","36.456013","5760095","371500"
"广西壮族自治区","city","河池市","108.062105","24.695899","3369251","451200"
"甘肃省","city","武威市","102.634697","37.929996","1979557","620600"
"山东省","city","济宁市","116.587245","35.415393","8090844","370800"
"山东省","city","青岛市","120.355173","36.082982","8780462","370200"
"山东省","city","滨州市","118.016974","37.383542","3748474","371600"
"广西壮族自治区","city","崇左市","107.353926","22.404108","1994285","451400"
"广西壮族自治区","city","柳州市","109.411703","24.314617","3758704","450200"
"江苏省","city","常州市","119.946973","31.772752","4728581","320400"
"广东省","city","惠州市","114.412599","23.079404","4580386","441300"
"西藏自治区","city","昌都市","97.178452","31.136875","null","540300"
"云南省","city","西双版纳傣族自治州","100.797941","22.001724","4551785","532800"
"山东省","city","临沂市","118.326443","35.065282","9484805","371300"
"山东省","city","烟台市","121.391382","37.539297","6968202","370600"
"辽宁省","city","营口市","122.235151","40.667432","2428534","210800"
"四川省","city","成都市","104.065735","30.659462","14091220","510100"
"湖北省","city","襄阳市","112.144146","32.042426","5495566","420600"
"潍坊市","district","寿光市","118.736451","36.874411","1100000","370783"
"上饶市","district","铅山县","117.711906","28.310892","426998","361124"
"南宁市","district","邕宁区","108.484251","22.756598","259721","450109"
"南宁市","district","横县","109.270987","22.68743","863001","450127"
"嘉兴市","district","嘉善县","120.921871","30.841352","574187","330421"
"榆林市","district","府谷县","111.069645","39.029243","260585","610822"
"承德市","district","宽城满族自治县","118.488642","40.607981","250304","130827"
"合肥市","district","肥东县","117.463222","31.883992","861960","340122"
"丽江市","district","宁蒗彝族自治县","100.852427","27.281109","null","530724"
"南宁市","district","上林县","108.603937","23.431769","343590","450125"
"郴州市","district","苏仙区","113.038698","25.793157","402750","431003"
"天津市市辖区","district","东丽区","117.313967","39.087764","598966","120110"
"甘南藏族自治州","district","舟曲县","104.370271","33.782964","132108","623023"
"石家庄市","district","元氏县","114.52618","37.762514","418466","130132"
"通辽市","district","开鲁县","121.308797","43.602432","396166","150523"
"白山市","district","浑江区","126.428035","41.943065","null","220602"
